亚当 	Adam	
海軍部	Admiralty	அட்மிரல்டி
亚历山大	Alexandra	
亚历山大	Alexandra	
阿裕尼	Aljunied	அல்ஜூனிட்
厦门	Amoy	
宏茂桥	Ang Mo Kio	அங் மோ கியோ
亚伯	Arab	
阿拉伯	Arab	
亚美尼亚	Armenian	
碼高	Bakau	பக்காவ்
萬吉	Bangkit	பங்கிட்
巴特礼	Bartley	
巴特礼	Bartley	
海湾	Bayfront	பேஃபுரெண்ட்
海湾舫	Bayfront	
贝弗兰	Bayfront	
美世界	Beauty World	பியூட்டி வேர்ல்ட்
勿洛	Bedok	
勿洛	Bedok	பிடோ
勿洛蓄水池	Bedok Reservoir	
勿洛公园	Bedok Town Park	
明古连	Bencoolen	
碧山	Bishan	பீஷான்
布勒克摩	Blackmore	
驳船	Boat	
文庆	Boon Keng	பூன் கெங்
文礼	Boon Lay	பூன் லே
植物园	Botanic Gardens	தாவரவியல் தோட்டம்
林荫道	Boulevard	
布莱德	Braddell	பிரேடல்
百胜	Bras Basah	
万国	Buangkok	புவாங்கோக்
武吉士	Bugis	பூகிஸ்
武吉巴督	Bukit Batok	புக்கிட் பாத்தே
咖啡山 	Bukit Brown	
武吉甘柏	Bukit Gombak	புக்கிட் கொம்பாக்
無吉班讓	Bukit Panjang	புக்கிட் பாஞ்சாங்
武吉宝美	Bukit Purmei	
武吉知马	Bukit Timah	
波那维斯达	Buona Vista	புலன விஸ்தா
巴梭拉 	Bussorah	
加利谷	Caldecott	
甘贝尔	Campbell	
堪培拉 	Canberra	
凯秀	Cashew	
中央区	Central	
中央区	Central	
先得坊	Centrepoint	
菜市	Chai Chee	
樟宜	Changi	
樟宜机场	Changi Airport	சாங்கி விமானநிலையம்
振林	Cheng Lim	செங் லிம்
牛车水	Chinatown	சைனாடவுன்
裕华园	Chinese Garden	சீனத் தோட்டம்
蔡厝港	Choa Chu Kang	சுவா சூ காங்
政府大厦	City Hall	நகர மண்டபம்
克拉	Clarke	
克拉码头	Clarke Quay	கிளார்க் கீ
金文泰	Clementi	கிளிமெண்டி
联邦	Commonwealth	காமன்வெல்த்
康埔樺	Compassvale	கம்பஸ்வேல்
会议中心	Convention Centre	
珊瑚邊	Coral Edge	கோரல் எட்ஜ்
企业	Corporation	
海灣	Cove	கோவ்
哥罗福 	Crawford	
克罗士街	Cross Street	
达科达	Dakota	டகோடா
達邁	Damai	தாமி
邓布西	Dempsey	
多美歌	Dhoby Ghaut	டோபி காட்
杜佛	Dover	டோவெர்
市中心	Downtown	நகர மையம்
公爵夫人	Duchess	
杜尼安	Dunearn	
东海岸	East Coast	
滨海中心	Esplanade	
友諾士	Eunos	யூனுஸ்
博览	Expo	எக்ஸ்போ
法嘉	Fajar	ஃபஜார்
远东	Far East	
農道	Farmway	ஃபாம்வே
花拉 	Farrer	
花拉公园	Farrer Park	ஃபேரர் பார்க்
芬微	Fernvale	ஃபொ்ன்வேல்
大食代	Food Republic	
富兰克	Frankel	
芽笼	Geylang	
芽笼士乃	Geylang Serai	
黄金地带	Golden Mile	
哈芝	Haji Lane	
哈查花蒂玛	Hajjah Fatimah	
港湾	HarbourFront	துறைமுகம்
虎豹别墅	Haw Par Villa	
麒麟	Heren	
山景	Hillview	குன்றுகாட்சி
荷兰 	Holland	
荷兰村	Holland Village	
后港	Hougang	ஹவ்காங்
谦道 	Hume Avenue	
惹兰勿刹	Jalan Besar	
爪哇	Java	
澤拉邦	Jelapang	ஜேலப்பாங்
如切	Joo Chiat	
裕群	Joo Koon	ஜூ கூன்
裕廊	Jurong	
裕廊东	Jurong East	ஜூரோங் கிழக்கு
裕廊湖	Jurong Lake	
裕廊镇	Jurong Town	
裕廊西	Jurong West	
卡達羅	Kadaloor	கடலூர்
竹脚	Kadang Kerbau	
加株 	Kadut	
加基武吉	Kaki Bukit	
加冷	Kallang	காலாங்
加冷峇鲁	Kallang Bahru	
甘榜格南	Kampong Glam	
坎大哈	Kandahar	
港腳	Kangkar	கங்கார்
加东	Katong	
吉豐	Keat Hong	கியட் ஹோங்
景万岸	Kembangan	கெம்பாங்கான்
肯特岗	Kent Ridge	
芨巴 	Keppel	
卡迪	Khatib	காதிப்
基里尼 	Killiney	
阿尔柏王园	King Albert Park	
高文	Kovan	கோவன்
克蘭芝	Kranji	கிராஞ்சி
古邦	Kupang	கூப்பாங்
拉柏多公园	Labrador Park	
湖畔	Lakeside	ஏரிக்கரை
劳明达	Lavender	லவண்டர்
拉雅	Layar	லாயார்
小印度	Little India	லிட்டில் இந்தியா
罗弄真查鲁	Lorong Chencharu	
罗弄泉	Lorong Chuan	
罗弄曼蒙	Lorong Mambong	
贝雅士	Lower Pierce	
麦波申	MacPherson	மெக்பர்சன்
麦里芝	MacRitchie	
滨海湾	Marina Bay	மரீனா பே
滨海码头 	Marina Pier	
滨海南	Marina South	
馬西嶺	Marsiling	மார்சிலிங்
玛丽蒙 	Marymount	
玛达	Mattar	
麦士威	Maxwell	
麦卡南 	McCullum	
麗園	Meridian	மெரிடியன்
美年 	Millenia	
苏丹 	Mohamed Sultan	
穆罕默德 苏丹	Mohammad Sultan	
花柏山	Mount Faber	
蒙巴登	Mountbatten	
美术馆 	Museum	
慕达发中心	Mustafa Centre	
国大医院	National University Hospital	
义顺南	Nee Soon	
义顺北	Nee Soon North	
纽顿	Newton	நியூட்டன்
纽顿交通圈	Newton Circus	
尼蒙	Nibong	நிபொங்
尼诰大道	Nicoll Highway	
尼诰大道	Nicoll Highway	
波那维斯达北	North Buona Vista	
诺维娜	Novena	நொவீனா
綠洲	Oasis	ஓய்கிஸ்
旧机场	Old Airport	
纬壹	One-North	
乌节	Orchard	
乌节	Orchard	ஆர்க்கர்ட்
乌节林阴道	Orchard Boulevard	
欧南园	Outram Park	ஊட்ரம் பார்க்
百丽宫	Paragon	
巴西班让	Pasir Panjang	பாசிர் பாஞ்சாங்
巴西立	Pasir Ris	பாசிர் ரிஸ்
巴西立 	Pasir Ris	
巴耶利峇	Paya Lebar	பாய லேபார்
秉定	Pending	பெண்டிங்
珍珠坊	People's Park	
柏提	Petir	
柏提	Petir	பெட்டீர்
鳳凰	Phoenix	ஃபீனிக்ஸ்
先驱	Pioneer	பயனியர்
狮城大厦	Plaza Singapura	
理工学院	Polytechnic	
波东巴西	Potong Pasir	போத் தோங் பாசிர்
公主 	Princess	
宝门廊	Promenade	
宝龙坊	Promenade	புரொமனெட்
榜鹅	Punggol	பொங்கோல்
榜鵝坊	Punggol Point	பொங்கோல் பொஇன்
女皇镇	Queenstown	குவீன்ஸ்டவுன்
莱佛士	Raffles	
莱佛士坊	Raffles Place	ராஃபிள்ஸ் பிளேஸ்
蘭崗	Ranggung	ரங்கோங்
红山	Redhill	ரெட்ஹில்
红山	Redhill|Bukit Merah	
仁宗	Renjong	ரெஞ்சோங்
河谷	River Valley	
里維拉	Riviera	றிவியாரா
罗敏申	Robertson	
梧槽	Rochor	ரோச்சர்
梧槽	Rochore	
棕美	Rumbia	ரூம்பியா
圣安德烈	Saint Andrew's	
三記	Sam Kee	ஸம் கீ
山姆	Samudera	ஸமுதெரா
史格士	Scotts	
斯科特	Scotts	
實加	Segar	செகார்
三巴旺	Sembawang	செம்பாவாங்
盛港	Sengkang	செங்காங்
信加	Senja	செஞ்சா
信立 	Sennett	
实龙岗	Serangoon	சிராங்கூன்
实龙岗 	Serangoon	
邵氏 大厦	Shaw Centre	
实乞纳	Siglap	
四美	Simei	ஸீமெய்
第六道	Sixth Avenue	ஆறாவது வழி
索美塞	Somerset	சாமர்செட்
樹德	Soo Teck	ஸூ டெக்
桥南	South Bridge	
南景	South View	சவுத் வியூ
圣迈克	St Michael's	
体育场	Stadium	
史蒂芬	Stevens	ஸ்டீவன்ஸ்
蘇芒	Sumang	ஸுமாங்
结霜桥	Sungei	
新达城	Suntec City	
瑞士史丹福	Swissotel 	
大成	Tai Seng	தை செங்
淡滨尼	Tampines	தெம்பினிஸ்
淡滨尼东	Tampines East	
淡滨尼西	Tampines West	
陈嘉庚	Tan Kah Kee	
丹那美拉	Tanah Merah	தானா மேரா
丹那美拉	Tanah Merah	தானா மேரா
丹戎加东	Tanjong Katong	
丹戎巴葛	Tanjong Pagar	தஞ்சோங் பகார்
德利	Teck Lee	டெக் லீ
德惠	Teck Whye	டெக் வாய்
直落亚逸	Telok Ayer	தேலோக் ஆயர்
直落布兰雅	Telok Blangah	
直落布兰雅	Telok Blangah 	
十里廣場	Ten Mile Junction	பத்தாம் கல் சந்திப்பு
丹甘	Thanggam	தங்கம்
汤姆森	Thomson	
中峇鲁	Tiong Bahru	தியோங் பாரு
大巴窑	Toa Payoh	தோ பயோ
同港	Tongkang	தொங்காங்
道拉实	Tras	
大士	Tuas	
大士彎	Tuas Crescent	
大士连	Tuas Link	
乌美	Ubi	
武吉知马	Upper Bukit Timah	
樟宜上段	Upper Changi	
巴耶利峇上段	Upper Paya Lebar	
维多利亚	Victoria	
怡丰城	Vivocity	
西海岸 	West Coast	
威士马 广场	Wisma Atria	
兀蘭	Woodlands	உட்லண்ட்ஸ்
兀蘭中	Woodlands Central	
兀蘭東	Woodlands East Kang North	
兀蘭西	Woodlands West	
兀里	Woodleigh	
世贸中心	World Trade Centre	
油池	Yew Tee	இயூடீ
杨厝港	Yio Chu Kang	இயோ சூ காங்
义顺	Yishun	யீஷூன்
祖卡	Zouk	
